,歌詞
0,砂の海で　錆びたシャベルを持ってまるで闘う様に　夢を掘る人赤く燃える太陽に　身を焼かれても必死で　這い上がろうとする愛する人の　命に値がついたそこら中に頭を下げても　足りなくて「石油でも掘る以外　無いんじゃないの？」って皮肉を　本気にして飛び出したでも　掘り出したのは　長い年月「Sir Destiny、アンタ、人の命を転がして　大層楽しいだろう？笑えよ　見てるんだろう？　この俺がジタバタもがいてるのを」死んだ街で　夜のドレス纏って作り話の様な愛を　売らされる人誰かの胸に腕に　身を預けても心は　ただ一人を待つ愛するあの人は　優しく嘘をついた「二人は大丈夫　明日を信じて待っていてくれ」「信じられる要素なんて　どこにあるの？」って思いながらも　その言葉を　おまじないの様に呟き続けた　長い年月「Sir Destiny、アナタでも　この気持ちは動かせないでしょう？幾度目の朝も　変わらず　優しいあの嘘を　思い出してる」夢を掘る人　それを待つ人定めよりも　互いを信じていたとある街の小さな教会で　優しい長生きおばあさんが　眠りについたろくに動けなくなってからも　毎朝　何かを呟いて　微笑んだ砂の海で　折れたシャベルを持って　作り話の様な　夢を掘る人刻まれた皺の奥の　瞳は未だ必死で　ただ　必死で掘り出したのは―― ……「Sir Destiny、アンタ、俺を見てるか『もう飽きた』なんて　言わせないぞ今にも　夢を掘り出して　見事悔しがらせてやる」「Sir Destiny、俺の夢って何だったっけ？何が　ここまで俺を動かしていたんだっけ？大事な何かを待たせていた様な…」夢を掘る人　それを待つ人幾つもの夜を　乗り越えた嘘
0,砂の海で　錆びたシャベルを持ってまるで闘う様に　夢を掘る人赤く燃える太陽に　身を焼かれても必死で　這い上がろうとする愛する人の　命に値がついたそこら中に頭を下げても　足りなくて「石油でも掘る以外　無いんじゃないの」って皮肉を　本気にして飛び出したでも　掘り出したのは　長い年月「Sir Destiny、アンタ、人の命を転がして　大層楽しいだろう笑えよ　見てるんだろう?　この俺がジタバタもがいてるのを」死んだ街で　夜のドレス纏って作り話の様な愛を　売らされる人誰かの胸に腕に　身を預けても心は　ただ一人を待つ愛するあの人は　優しく嘘をついた「二人は大丈夫　明日を信じて待っていてくれ」「信じられる要素なんて　どこにあるの?」って思いながらも　その言葉を　おまじないの様に呟き続けた　長い年月「Sir Destiny、アナタでも　この気持ちは動かせないでしょう?幾度目の朝も　変わらず　優しいあの嘘を　思い出してる」夢を掘る人　それを待つ人定めよりも　互いを信じていたとある街の小さな教会で　優しい長生きおばあさんが　眠りについたろくに動けなくなってからも　毎朝　何かを呟いて　微笑んだ砂の海で　折れたシャベルを持って　作り話の様な　夢を掘る人刻まれた皺の奥の　瞳は未だ必死で　ただ　必死で掘り出したのは――……「Sir Destiny、アンタ、俺を見てるか「もう飽きた」なんて　言わせないぞ今にも　夢を掘り出して　見事悔しがらせてやる」「Sir Destiny、俺の夢って何だったっけ何が　ここまで俺を動かしていたんだっけ大事な何かを待たせていた様な…」夢を掘る人　それを待つ人幾つもの夜を　乗り越えた嘘
0,消えない勇気を受け取ったよ　臆病なあなたから　確かに熱で休んだ　眠りの隙間に　銀色を纏う　一羽の小鳥追いかけたけど　近付けないから　耳に手を当てて　ただ聴いていた言葉より声を　声より唄を　唄から心を　心の言葉を小鳥は飛んだ　遊ぶ様に飛んだ　あらゆる笑顔と　涙の上をすっかり世界が　変わっていく様を　夢中になって　ずっと見ていた言葉より声を　声より唄を　唄から心を　心の言葉を星より光り　光を願い　祈る様に踊る　今は無い星をああ　どうかいかないで　いつまでもなくならないでいてあなたがどこかで笑ったと　思うだけで宇宙が笑ったそれから知ったよ　あなたの戦い　怯えた夜でさえ　戦場にいた輝きに埋もれ　見えなかった傷の　意味すら誰にも　解らなかった騙されて泣いた　馬鹿にされて泣いた　使われて泣いた 愛されたかった栄光の中で　恥辱にまみれて　何度も壊されて 消えた小鳥の消えない勇気を受け取ったよ　救われた僕の手に　確かに言葉より声を　声より唄を　唄から心を　心の言葉を星より光り　光を願い　祈る様に踊る　今は無い星をあなたに声を　声より唄を　唄から心を　心にあなたを一人減った未来を　一人多かった過去を　抱きしめた胸に　今もある星を消えない勇気を受け取ったよ　臆病なあなたから　確かに
0,ええと、うん、大丈夫！君はまだ　君自身をちゃんと見てあげていないだけ誰だってそうさ　君一人じゃないそりゃ僕だってねぇ…… ――まぁ、いいや少なくとも　君には味方がいるよプレゼントの物語の中の住人達さぁ、これから何をするんだい？僕はもう行かなきゃほらまたどこかで　涙の落ちる音
0,隠れてないで　出てこいよ　この部屋は大丈夫鼓動の音は　ふたつ　ふたつ以上も以下もない逃げ道の途中　飛び込んだ　この部屋の中で君は僕に見つかった　首輪の無い姿で震えてるのはきっと　寒さのせいだけじゃないなどんな台詞もきっと　役に立たないな腕の中へおいで　抱えた孤独のその輪郭を　撫でてやるよ明かりの無い部屋で　言葉もくたびれて確かなものは　温もりだけ君が　そこに居ないと気付いたら　とにかく探すだろう「そこに居る」のに「居ない」と　気付く時もあるだろうこの眼が視力を失くしても　僕は君を見るだろう体中の細胞　フル動員で　君を見るだろう呼吸の音がする　柔かい匂いもある全てこの手のひらに　集めて閉じ込めるよ腕の中へおいで　隠した痛みのその傷口に　触れてみるよ時間の無い部屋で　理由も忘れて確かなものを　探しただけ　見つけただけ腕の中へおいで　醜い本音を紡いだ場所に　キスをするよ命の無い世界で　僕と同じ様に生きてるものを　探しただけ腕の中へおいで　怖がらないでおいで生きてるものを　見つけただけ確かなものは　温もりだけ
0,もう　気付いたろう　目の前のドアの鍵を受け取れるのは　手の中がカラの時だけ長い間　ここは居心地が良くていつの間にか　いろいろと拾い過ぎたどれもが　温かくて　失い難い　いくつかの光手に入れる為に捨てるんだ　揺らした天秤が掲げた方をこんなに簡単な選択に　いつまでも迷う事は無いその涙と引き換えにして　僕らは　行けるもう　気付いたろう　僕に君のドアは見えない同じドアをくぐれたら－－－　と願っていたよさぁ　時は来た　繋いだ手を離すんだよカラになった手で　それぞれの鍵を受け取ろう恐らく　もう　戻れない　いつか忘れる　君と居た場所手に入れる為に捨てたんだ　揺らした天秤が掲げた方をそんなに勇敢な選択だ　いつまでも迷う事は無いその記憶と引き換えにして　僕らは振り返らないで　悔やまないで　怖がらないで　どうか　元気で僕は唄うよ歩きながら　いつまで君に届くかなその涙と引き換えにその記憶と引き換えにこの歌と引き換えにして　僕らは　行けるもう　気付いたろう　目の前のドアの鍵を受け取れるのは　手の中がカラの時だけただ一人だけ
0,そしてその身をどうするんだ　本当の孤独に気付いたんだろう溢れる人の渦の中で　自らに問いかけた言葉放射状に伸びる足跡　自分だけが歩き出せずにいる死んだ心をどうするんだ　忘れた振りして覚えてんだろう突き放しても　捨ててみても　どこまでも付いてくるって事闇に守られて　震える身に　朝が迫る置いていかれた迷子　遅すぎた始まりさあ　何を憎めばいい目隠しをしたのも　耳塞いだのも全てその両手ロンリーグローリー　最果てから声がする選ばれなかった名前を　呼び続けてる光があるオンリーグローリー　君だけが貰うトロフィー特別じゃないその手が　触る事を許された光そして僕らは覚悟した　本当の恐怖に気付いたんだよ隠れてみても　逃げてみても　いつかは照らされるって事位置について　息を吸い込んで　吐き出して合図を待つ笑われる事なく　恨まれる事なく　輝く命など無い眩しいのは最初だけ　目隠し外せほら　夜が明けたロンリーグローリー　大丈夫　どうやら歩ける一人分の幅の道で　涙目が捕まえた合図オンリーグローリー　僕だけが貰うトロフィー一人に凍える　この手が　温もりと出会う為の光息絶えた　心を撫でた殺したのは　他ならぬ僕だ傷跡に　雫が落ちた動いたんだ　僅かでも確かにまだ生きていた、僕の中で一人で呼吸を始めた、僕と共に二人で僕だったから　それが見えた「おはよう、ごめんな、思い出せるかい」孤独を知ったから　また出会えた孤独じゃない歩き出した迷子　足跡の始まりここには命がある選ばれなかったなら　選びにいけただひとつの栄光ロンリーグローリー　最果てなど無いと知るこの歩みよりも　もっと速く　飛び続けてる光ならばオンリーグローリー　それこそが狙うトロフィー特別じゃない　この手を特別と名付ける為の光
0,お訪ねしますこの辺りで　ついさっき涙の落ちる音が聴こえた気がして駆けつけたんだけど誰の涙かなそういや君は　ずいぶん赤い眼をしてるねええと、うん、そうだ！いくつかの物語をプレゼントしてあげるちゃんと読んでおく事、いいね？それじゃ、また、後で
0,もうきっと多分大丈夫　どこが痛いか分かったからね自分で涙拾えたら　いつか魔法に変えられるほんの少し忘れていたね　とても長かった　ほんの少しお日様がない時は　クレヨンで世界に創り出したでしょう正義の味方には見つけて貰えなかった類探しに行かなくちゃ　呼び合い続けた　あの声だよ溜め息にもなれなかった　名前さえ持たない思いが心の一番奥の方　爪を立てて　堪えていたんだ触れて確かめられたら　形と音が分かるよ伝えたい言葉はいつだって　そうやって見つけてきた振り返れば途切れずに　歪な線を描く足跡悲しいくらい分かりやすく　いつもここに向けて伸びる大切にするのは下手でも　大切だって事は分かっているせめてその白い手紙が　正しく届きますように考え過ぎじゃないよ　そういう闇の中にいて勇気の眼差しで　次の足場を探しているだけ解き放て　あなたの声で　光る羽根与えた思いをその足が向かうべき先へ　そうしなきゃ見えなかった未来へ諦めなかった事を　誰よりも知っているのは羽ばたいた言葉のひとつひとつ　必ず届きますようにもう一度　もう一度　クレヨンで　好きなようにもう一度　さあどうぞ　好きな色で　透明にもう一度　もう一度　クレヨンで　この世界に今こそ　さあどうぞ　魔法に変えられるああ、なぜ、どうして、と繰り返して　それでも続けてきただろう心の一番奥の方　涙は炎　向き合う時が来た触れて確かめられたら　形と音をくれるよあなたの言葉がいつだって　あなたを探してきたそうやって見つけてきた
0,僕はかさぶた　君の膝小僧　擦りむいたトコから　生まれた今日の放課後　ケンカした君の　泣き声に呼ばれた初めまして　仲良くやろうぜ　かゆいからって　剥がすなよ短い間だと　思うけど　ここは　任せとけかさぶたぶたぶ　かさぶた体操座り　ちゃぷちゃぷお風呂　僕だけお湯には　濡れないぜだけど濡れたよ　涙の雨だよ　まだ膝が痛いのかい仲直りがしたいんだね　でも恥ずかしくて　出来ないの大丈夫だよ　傷は治るんだ　きっと　もとどおり謝るんだね　すごくえらいぜ　あのこも　話したかったハズねぇ　気付いてる？　少しずつ僕が　小さくなってる事ほらこっち来たよ　勇気を出せよ　最後には　握手するんだぜだから言ったろ　傷は治るよって　もとどおりになるってさよならだよ　仲良くやれよ　僕の事は　気にするな初めて君の　笑う顔が見れた　それだけでもうシアワセだよ　生まれた場所が　この膝小僧で　良かった僕に会いたくなったからって　わざと　怪我するなよかさぶたぶたぶ　かさぶた僕はかさぶた　また会える日が　待ち遠しいけれど　本当は二度と会わずに　済むのが一番　怪我には　気を付けてほしいなでも　たまには　転んでもほしいな
